url,name,cost_text,rooms,parking,desc
https://www.domain.com.au/2-mason-avenue-elwood-vic-3184-16958348,"2 Mason Avenue, Elwood VIC 3184","$1,995.00","4 Beds, 3 Baths",3 Parking,PLEASE NOTE THAT THIS PROPERTY IS FURNISHED
https://www.domain.com.au/1707-151-berkeley-street-melbourne-vic-3000-16572882,"1707/151 Berkeley Street, Melbourne VIC 3000",$2000 Per Week,"2 Beds, 2 Baths",1 Parking,* Unverified feature
https://www.domain.com.au/904-201-collins-street-melbourne-vic-3000-17145064,"904/201 Collins Street, Melbourne VIC 3000","$1,995 pw","2 Beds, 2 Baths",1 Parking,Barbara Baltas
https://www.domain.com.au/69-esplanade-east-port-melbourne-vic-3207-16479683,"69 Esplanade East, Port Melbourne VIC 3207","2,000","2 Beds, 2 Baths",2 Parking,"From the moment you step inside you are welcomed with bright interiors that are bathed in gentle sunlight amplifying the simple beauty of the home with its open plan design, perfectly zoned to create an inviting atmosphere that is centred around gathering and good times."
https://www.domain.com.au/4-merrylands-avenue-portsea-vic-3944-16750946,"4 Merrylands Avenue, Portsea VIC 3944",$2500 Per Week,"4 Beds, 3 Baths",− Parking,"Escape to the serenity of Point King Beach with our magnificent 4-bedroom, 3-bathroom coastal haven. This exclusive retreat offers not just a home, but a lifestyle-where the rhythm of the waves becomes your daily soundtrack.Key Features:4 Bedrooms:Your sanctuary by the sea boasts 3 bedrooms in the main house, each thoughtfully designed for comfort and tranquility. An additional private retreat"
https://www.domain.com.au/1-589-toorak-road-toorak-vic-3142-17174699,"1/589 Toorak Road, Toorak VIC 3142","$2,000 per week","3 Beds, 2 Baths",2 Parking,"This exceptional Toorak residence exudes style and sophistication, showcasing a series of luxurious spaces and high-end finishes."
https://www.domain.com.au/27a-waltham-street-richmond-vic-3121-16856779,"27A Waltham Street, Richmond VIC 3121","$1,980","3 Beds, 4 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/198-the-avenue-parkville-vic-3052-17145209,"198 The Avenue, Parkville VIC 3052",$1975pw / $8582 pcm,"3 Beds, 2 Baths",1 Parking,* Unverified feature
https://www.domain.com.au/138-charles-sturt-drive-doreen-vic-3754-17009682,"138 Charles Sturt Drive, Doreen VIC 3754","$1,950","8 Beds, 4 Baths",10 Parking,* Unverified feature
https://www.domain.com.au/191-humphries-road-frankston-south-vic-3199-17059642,"191 Humphries Road, Frankston South VIC 3199","$1,950 pw","5 Beds, 3 Baths",6 Parking,* Unverified feature
https://www.domain.com.au/102-1b-deakin-street-south-hampton-vic-3188-17103827,"102/1B Deakin Street South, Hampton VIC 3188","$1,950.00","3 Beds, 3 Baths",2 Parking,"The epitome of sophisticated bayside living, 102/1B Deakin Street South in notable Hampton offers this three-bedroom, three-bathroom apartment within the acclaimed development by Fender Katsalidis Architects and Eckersley Garden Architecture."
https://www.domain.com.au/201-1b-deakin-street-south-hampton-vic-3188-16876163,"201/1B Deakin Street South, Hampton VIC 3188","$1,950 per week","3 Beds, 2 Baths",2 Parking,"Immerse yourself in the pinnacle of luxury bayside living with this exquisite three-bedroom, two-bathroom apartment situated at 201/1B Deakin Street South, Hampton. This is a prestigious offering from the distinguished collaboration of Fender Katsalidis Architects and Eckersley Garden Architecture."
https://www.domain.com.au/3210-14-16-the-esplanade-st-kilda-vic-3182-16707575,"3210/14-16 The Esplanade, St Kilda VIC 3182","$1,950","3 Beds, 2 Baths",1 Parking,Danielle Boyd
https://www.domain.com.au/6-maroona-road-brighton-vic-3186-17179194,"6 Maroona Road, Brighton VIC 3186","$1,900.00","5 Beds, 3 Baths",2 Parking,Amelia Falvo
https://www.domain.com.au/24-bourneville-avenue-brighton-east-vic-3187-17154163,"24 Bourneville Avenue, Brighton East VIC 3187","$1,900.00","4 Beds, 2 Baths",2 Parking,Sara Huckett
