url,name,cost_text,rooms,parking,desc,schools
https://www.domain.com.au/29-220-chapel-road-keysborough-vic-3173-17145281,"29/220 Chapel Road, Keysborough VIC 3173",$730,"3 Beds, 3 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/41-red-brush-drive-keysborough-vic-3173-17146140,"41 Red Brush Drive, Keysborough VIC 3173",$730 per week,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/7-4-aspect-drive-keysborough-vic-3173-17168825,"7/4 Aspect Drive, Keysborough VIC 3173",$720.00,"3 Beds, 3 Baths",2 Parking,Matthew Spence,N/A
https://www.domain.com.au/8-elmsford-court-keysborough-vic-3173-16847205,"8 Elmsford Court, Keysborough VIC 3173",$695 per week,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/46-dahlia-crescent-keysborough-vic-3173-17160002,"46 Dahlia Crescent, Keysborough VIC 3173",$700 Per Week,"4 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/304-cheltenham-road-keysborough-vic-3173-17168571,"304 Cheltenham Road, Keysborough VIC 3173",$700 per week,"4 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/309c-stud-road-dandenong-north-vic-3175-16541613,"309C Stud Road, Dandenong North VIC 3175",$695,"4 Beds, 3 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/82-hanna-street-noble-park-vic-3174-17178750,"82 Hanna Street, Noble Park VIC 3174",$690,"3 Beds, 3 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-3-jeffrey-street-dandenong-north-vic-3175-13414330,"2/3 Jeffrey Street, Dandenong North VIC 3175",$680 Per Week,"3 Beds, 2 Baths",2 Parking,Royal Melbourne Estates is proud to present this modern 3 bedroom townhouse!,N/A
https://www.domain.com.au/121-outlook-drive-dandenong-north-vic-3175-17172002,"121 Outlook Drive, Dandenong North VIC 3175",$ 680 PER WEEK,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/16-calibre-retreat-keysborough-vic-3173-17145792,"16 Calibre Retreat, Keysborough VIC 3173",$680 per week,"3 Beds, 2 Baths",1 Parking,Barry Plant's Award Winning Property Management Department is proud to offer you this family sized townhouse for lease.,N/A
https://www.domain.com.au/6-aspect-drive-keysborough-vic-3173-17144260,"6 Aspect Drive, Keysborough VIC 3173",$680 per week,"3 Beds, 2 Baths",2 Parking,Barry Plant's Award Winning Property Management Department is proud to offer you this beautiful home for lease:- 3 bedrooms- 2 bathrooms- 3 toilets- Double remote control garage with internal access,N/A
https://www.domain.com.au/31-knox-street-noble-park-vic-3174-10921768,"31 Knox Street, Noble Park VIC 3174","$680 p/w, 2,955.00 pcm","4 Beds, 3 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-21-david-street-noble-park-vic-3174-17183255,"2/21 David Street, Noble Park VIC 3174",$680 weekly,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/23-liege-avenue-noble-park-vic-3174-17131720,"23 Liege Avenue, Noble Park VIC 3174",$675 p.w,"3 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/4-mulgoa-court-keysborough-vic-3173-17165521,"4 Mulgoa Court, Keysborough VIC 3173",$660.00,"5 Beds, 2 Baths",2 Parking,Kelly Amor,N/A
https://www.domain.com.au/2-5-welwyn-court-keysborough-vic-3173-17158623,"2/5 Welwyn Court, Keysborough VIC 3173",$ 650 PER WEEK,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/10-mackinnon-court-keysborough-vic-3173-16380462,"10 MacKinnon Court, Keysborough VIC 3173",$650 per week,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/12-perissos-place-keysborough-vic-3173-16464604,"12 Perissos Place, Keysborough VIC 3173",$650 per week,"3 Beds, 2 Baths",2 Parking,Barry Plant's Award Winning Property Management Department is proud to offer you this townhouse for lease.,N/A
https://www.domain.com.au/3-diesel-street-noble-park-vic-3174-17162223,"3 Diesel Street, Noble Park VIC 3174",$650,"3 Beds, 3 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/7-jasmine-drive-noble-park-vic-3174-15922675,"7 Jasmine Drive, Noble Park VIC 3174",$650 Per Week - Start From 6 Month Lease,"3 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/6-6-chandler-road-noble-park-vic-3174-17189448,"6/6 Chandler Road, Noble Park VIC 3174",$650 per week/$2824- pcm,"3 Beds, 2 Baths",2 Parking,"Welcome to your new home in the heart of Noble Park! This modern townhouse offers a perfect blend of comfort, convenience, and contemporary living.Key Features:* 3 Bedrooms: Spacious bedrooms all with built in robes* Master Bedroom with Full Ensuite* Open plan living* Separate dining area* Modern kitchen with stainless steel appliances* Evaporative Cooling: Stay cool and comfortable during",N/A
https://www.domain.com.au/1-3-cardore-ct-noble-park-vic-3174-17180983,"1/3 Cardore Ct, Noble Park VIC 3174",$650 per week,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-26-gloria-avenue-dandenong-north-vic-3175-17024857,"1/26 Gloria Avenue, Dandenong North VIC 3175","Under application, no inspection","3 Beds, 3 Baths",2 Parking,"Welcome to your new home at 1/26 Gloria Avenue, Dandenong North. This stunning 3 bedroom townhouse offers a modern and sophisticated living experience. With its spacious layout, stylish design, and convenient location, this property is perfect for families or professionals looking for a comfortable and contemporary lifestyle.",N/A
https://www.domain.com.au/53-riana-loop-eumemmerring-vic-3177-17151481,"53 Riana Loop, Eumemmerring VIC 3177",$640,"4 Beds, 3 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/3-8-reid-court-dandenong-north-vic-3175-17156464,"3/8 Reid Court, Dandenong North VIC 3175",$635 per week,"3 Beds, 2 Baths",2 Parking,Barry Plant's Award Winning Property Management Department is proud to offer you this unit for lease.,N/A
https://www.domain.com.au/14-sheffield-way-keysborough-vic-3173-15470011,"14 Sheffield Way, Keysborough VIC 3173",$625 / wk,"5 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/57-gatcum-court-noble-park-vic-3174-17157204,"57 Gatcum Court, Noble Park VIC 3174",$620 per week,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-elms-court-dandenong-north-vic-3175-17150413,"2 Elms Court, Dandenong North VIC 3175",$600,"3 Beds, 1 Bath",3 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-mckinley-court-dandenong-north-vic-3175-17168349,"1 McKinley Court, Dandenong North VIC 3175",$600,"3 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/15a-crimson-drive-doveton-vic-3177-17190575,"15A Crimson Drive, Doveton VIC 3177",$600 pw,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/19-popes-road-keysborough-vic-3173-17171472,"19 Popes Road, Keysborough VIC 3173",$600 PW,"4 Beds, 1 Bath",2 Parking,"Welcome to 19 Popes Rd, Keysborough—a delightful residence offering comfort, style, and convenience. This well-maintained home is perfect for families seeking a spacious and modern living environment.",N/A
https://www.domain.com.au/6-jenkins-street-noble-park-vic-3174-17181302,"6 Jenkins Street, Noble Park VIC 3174",$600 weekly,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/12-callander-road-noble-park-vic-3174-17154485,"12 Callander Road, Noble Park VIC 3174",Contact agent,"3 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-22-larbert-road-noble-park-vic-3174-14785240,"2/22 Larbert Road, Noble Park VIC 3174",$600,"3 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/48-sabine-avenue-dandenong-north-vic-3175-17124047,"48 Sabine Avenue, Dandenong North VIC 3175",$580,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/23-francesco-drive-dandenong-north-vic-3175-12915739,"23 Francesco Drive, Dandenong North VIC 3175",$580,"3 Beds, 1 Bath",2 Parking,Located in the much sought after Rose Wood Downs area of Dandenong North is this well looked after home suitable for all type of tenants.,N/A
https://www.domain.com.au/4-28-henry-street-noble-park-vic-3174-17132398,"4/28 Henry Street, Noble Park VIC 3174",$580 per week,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
