,postcode,locality
6638,3183,ST KILDA EAST
6639,3184,BRIGHTON ROAD
6640,3184,ELWOOD
6641,3185,ELSTERNWICK
6642,3185,GARDENVALE
6643,3185,RIPPONLEA
6644,3186,BRIGHTON
6645,3186,BRIGHTON NORTH
6646,3186,DENDY
6647,3186,WERE STREET PO
6648,3187,BRIGHTON EAST
6649,3187,NORTH ROAD
6650,3188,HAMPTON
6651,3188,HAMPTON EAST
6652,3188,HAMPTON NORTH
6653,3189,MOORABBIN
6654,3189,MOORABBIN EAST
6655,3189,WISHART
6656,3190,HIGHETT
6657,3191,SANDRINGHAM
6658,3192,CHELTENHAM
6659,3192,CHELTENHAM EAST
6660,3192,CHELTENHAM NORTH
6661,3192,SOUTHLAND CENTRE
6662,3193,BEAUMARIS
6663,3193,BLACK ROCK
6664,3193,BLACK ROCK NORTH
6665,3193,CROMER
6666,3194,MENTONE
6667,3194,MENTONE EAST
6668,3194,MOORABBIN AIRPORT
6669,3195,ASPENDALE
6670,3195,ASPENDALE GARDENS
6671,3195,BRAESIDE
6672,3195,MORDIALLOC
6673,3195,MORDIALLOC NORTH
6674,3195,PARKDALE
6675,3195,WATERWAYS
6676,3196,BONBEACH
6677,3196,CHELSEA
6678,3196,CHELSEA HEIGHTS
6679,3196,EDITHVALE
6680,3197,CARRUM
6681,3197,PATTERSON LAKES
6682,3198,BELVEDERE PARK
6683,3198,SEAFORD
6684,3199,FRANKSTON
6685,3199,FRANKSTON EAST
6686,3199,FRANKSTON HEIGHTS
6687,3199,FRANKSTON SOUTH
6688,3199,KARINGAL
6689,3199,KARINGAL CENTRE
6690,3200,FRANKSTON NORTH
6691,3200,PINES FOREST
6692,3201,CARRUM DOWNS
6693,3202,HEATHERTON
6694,3204,BENTLEIGH
6695,3204,MCKINNON
6696,3204,ORMOND
6697,3204,PATTERSON
6698,3205,SOUTH MELBOURNE
6699,3205,SOUTH MELBOURNE DC
6700,3206,ALBERT PARK
6701,3206,MIDDLE PARK
6702,3207,GARDEN CITY
6703,3207,PORT MELBOURNE
6704,3211,LITTLE RIVER
6705,3212,AVALON
6706,3212,LARA
6707,3212,POINT WILSON
6708,3213,ANAKIE
6709,3213,BATESFORD
6710,3213,LOVELY BANKS
6711,3213,MOORABOOL
6712,3214,CORIO
6713,3214,NORLANE
6714,3214,NORTH SHORE
6715,3215,BELL PARK
6716,3215,BELL POST HILL
6717,3215,DRUMCONDRA
6718,3215,GEELONG NORTH
6719,3215,HAMLYN HEIGHTS
6720,3215,NORTH GEELONG
6721,3215,RIPPLESIDE
6722,3216,BELMONT
6723,3216,FRESHWATER CREEK
6724,3216,GROVEDALE
6725,3216,GROVEDALE EAST
6726,3216,HIGHTON
6727,3216,MARSHALL
6728,3216,MOUNT DUNEED
6729,3216,WANDANA HEIGHTS
6730,3216,WAURN PONDS
6731,3217,ARMSTRONG CREEK
6732,3217,CHARLEMONT
6733,3217,DEAKIN UNIVERSITY
6734,3217,FRESHWATER CREEK
6735,3217,MOUNT DUNEED
6736,3218,FYANSFORD
6737,3218,GEELONG WEST
6738,3218,HERNE HILL
6739,3218,MANIFOLD HEIGHTS
6740,3218,MURGHEBOLUC
6741,3218,STONEHAVEN
6742,3219,BREAKWATER
6743,3219,EAST GEELONG
6744,3219,NEWCOMB
6745,3219,ST ALBANS PARK
6746,3219,THOMSON
6747,3219,WHITTINGTON
6748,3220,BAREENA
6749,3220,GEELONG
6750,3220,NEWTOWN
6751,3220,SOUTH GEELONG
6752,3221,ANAKIE
6753,3221,BARRABOOL
6754,3221,BATESFORD
6755,3221,BELLARINE
6756,3221,CERES
6757,3221,FYANSFORD
6758,3221,GEELONG MC
6759,3221,GNARWARRE
6760,3221,GREY RIVER
6761,3221,KENNETT RIVER
6762,3221,LOVELY BANKS
6763,3221,MOOLAP
6764,3221,MOORABOOL
6765,3221,MURGHEBOLUC
6766,3221,SEPARATION CREEK
6767,3221,STAUGHTON VALE
6768,3221,STONEHAVEN
6769,3221,SUGARLOAF
6770,3221,WALLINGTON
6771,3221,WONGARRA
6772,3221,WYE RIVER
6773,3222,CLIFTON SPRINGS
6774,3222,CURLEWIS
6775,3222,DRYSDALE
6776,3222,MANNERIM
6777,3222,MARCUS HILL
6778,3222,WALLINGTON
6779,3223,BELLARINE
6780,3223,INDENTED HEAD
6781,3223,PORTARLINGTON
6782,3223,ST LEONARDS
6783,3224,LEOPOLD
6784,3224,MOOLAP
6785,3225,POINT LONSDALE
6786,3225,QUEENSCLIFF
6787,3225,SWAN BAY
6788,3225,SWAN ISLAND
6789,3226,OCEAN GROVE
6790,3227,BARWON HEADS
6791,3227,BREAMLEA
6792,3227,CONNEWARRE
6793,3228,BELLBRAE
6794,3228,BELLS BEACH
6795,3228,JAN JUC
6796,3228,TORQUAY
6797,3230,ANGLESEA
6798,3231,AIREYS INLET
6799,3231,BIG HILL
6800,3231,EASTERN VIEW
6801,3231,FAIRHAVEN
6802,3231,MOGGS CREEK
6803,3232,BIG HILL
6804,3232,LORNE
6805,3233,APOLLO BAY
6806,3233,CAPE OTWAY
6807,3233,MARENGO
6808,3233,PETTICOAT CREEK
6809,3233,SKENES CREEK
6810,3233,SKENES CREEK NORTH
6811,3234,GREY RIVER
6812,3234,KENNETT RIVER
6813,3234,SEPARATION CREEK
6814,3234,SUGARLOAF
6815,3234,WONGARRA
6816,3234,WYE RIVER
6817,3235,BENWERRIN
6818,3235,BOONAH
6819,3235,DEANS MARSH
6820,3235,PENNYROYAL
6821,3236,FORREST
6822,3236,MOUNT SABINE
6823,3237,AIRE VALLEY
6824,3237,BEECH FOREST
6825,3237,FERGUSON
6826,3237,GELLIBRAND LOWER
6827,3237,WATTLE HILL
6828,3237,WEEAPROINAH
6829,3237,WYELANGTA
6830,3237,YUULONG
6831,3238,GLENAIRE
6832,3238,HORDERN VALE
6833,3238,JOHANNA
6834,3238,LAVERS HILL
6835,3239,CARLISLE RIVER
6836,3239,CHAPPLE VALE
6837,3239,GELLIBRAND
6838,3239,KENNEDYS CREEK
6839,3240,BUCKLEY
6840,3240,GHERANG
6841,3240,MODEWARRE
6842,3240,MORIAC
6843,3240,MOUNT MORIAC
6844,3240,PARAPARAP
6845,3241,BAMBRA
6846,3241,OMBERSLEY
6847,3241,WENSLEYDALE
6848,3241,WINCHELSEA
6849,3241,WINCHELSEA SOUTH
6850,3241,WURDIBOLUC
6851,3242,BIRREGURRA
6852,3243,BARWON DOWNS
6853,3243,GERANGAMETE
6854,3243,MURROON
6855,3243,WARNCOORT
6856,3243,WHOOREL
6857,3249,ALVIE
6858,3249,BALINTORE
6859,3249,BARONGAROOK
6860,3249,BARONGAROOK WEST
6861,3249,BARRAMUNGA
6862,3249,CORAGULAC
6863,3249,CORUNNUN
6864,3249,DREEITE
6865,3249,DREEITE SOUTH
6866,3249,GERANGAMETE
6867,3249,IRREWARRA
6868,3249,IRREWILLIPE
6869,3249,IRREWILLIPE EAST
6870,3249,KAWARREN
6871,3249,LARPENT
6872,3249,NALANGIL
6873,3249,ONDIT
6874,3249,PIRRON YALLOCK
6875,3249,POMBORNEIT EAST
6876,3249,SWAN MARSH
6877,3249,TANYBRYN
6878,3249,WARRION
6879,3249,WOOL WOOL
6880,3249,YEO
6881,3249,YEODENE
6882,3250,COLAC
6883,3250,COLAC EAST
6884,3250,COLAC WEST
6885,3250,ELLIMINYT
6886,3251,BEEAC
6887,3251,CUNDARE
6888,3251,CUNDARE NORTH
6889,3251,EURACK
6890,3251,WEERING
6891,3254,COROROOKE
6892,3260,BOOKAAR
6893,3260,BOSTOCKS CREEK
6894,3260,BUNGADOR
6895,3260,CAMPERDOWN
6896,3260,CARPENDEIT
6897,3260,CHOCOLYN
6898,3260,GNOTUK
6899,3260,KARIAH
6900,3260,KOALLAH
6901,3260,LESLIE MANOR
6902,3260,POMBORNEIT
6903,3260,POMBORNEIT NORTH
6904,3260,SKIBO
6905,3260,SOUTH PURRUMBETE
6906,3260,STONYFORD
6907,3260,TANDAROOK
6908,3260,TESBURY
6909,3260,WEERITE
6910,3264,TERANG
6911,3265,BOORCAN
6912,3265,CUDGEE
6913,3265,DIXIE
6914,3265,ECKLIN SOUTH
6915,3265,ELLERSLIE
6916,3265,FRAMLINGHAM
6917,3265,FRAMLINGHAM EAST
6918,3265,GARVOC
6919,3265,GLENORMISTON
6920,3265,GLENORMISTON NORTH
6921,3265,GLENORMISTON SOUTH
6922,3265,KOLORA
6923,3265,LAANG
6924,3265,NOORAT
6925,3265,NOORAT EAST
6926,3265,PANMURE
6927,3265,TAROON
6928,3265,THE SISTERS
6929,3266,BULLAHARRE
6930,3266,COBDEN
6931,3266,COBRICO
6932,3266,ELINGAMITE
6933,3266,ELINGAMITE NORTH
6934,3266,GLENFYNE
6935,3266,JANCOURT
6936,3266,JANCOURT EAST
6937,3266,NAROGHID
6938,3266,SIMPSON
6939,3267,SCOTTS CREEK
6940,3268,AYRFORD
6941,3268,BRUCKNELL
6942,3268,COORIEMUNGLE
6943,3268,COWLEYS CREEK
6944,3268,CURDIE VALE
6945,3268,CURDIES RIVER
6946,3268,CURDIEVALE
6947,3268,HEYTESBURY LOWER
6948,3268,NEWFIELD
6949,3268,NIRRANDA
6950,3268,NIRRANDA EAST
6951,3268,NIRRANDA SOUTH
6952,3268,NULLAWARRE
6953,3268,NULLAWARRE EAST
6954,3268,NULLAWARRE NORTH
6955,3268,PAARATTE
6956,3268,THE COVE
6957,3268,TIMBOON
